,ch,x,y,z,sub
1,ECOG_1,29.98313795470256,-40.34908609854747,69.7380172443995,cc
2,ECOG_2,32.34557300835358,-29.546312443293143,69.69037053059327,cc
3,ECOG_3,31.027176119663327,-18.691301252305692,68.09043950762117,cc
4,ECOG_4,36.66775096700217,-9.592808754622268,63.858603000969666,cc
5,ECOG_5,35.56417504960683,1.7410704625590507,62.035943740805365,cc
6,ECOG_6,28.179098023419662,13.276944397364543,59.81373632393101,cc
7,ECOG_7,25.15705971770257,24.34986894837255,56.54080604449375,cc
8,ECOG_8,38.60397225959254,-43.67604740992774,65.34810922008572,cc
9,ECOG_9,38.3542498412646,-32.614559892772114,65.61669903050283,cc
10,ECOG_10,43.820613538490875,-20.806294257940927,61.30324254304706,cc
11,ECOG_11,42.27998560528447,-10.59582691743475,60.04675470456634,cc
12,ECOG_12,39.34069974605222,0.204705933547568,58.86507349571049,cc
13,ECOG_13,38.594850227475,11.867695995031722,55.66694984589815,cc
14,ECOG_14,35.56417065202471,23.197093603669042,51.57622159563456,cc
15,ECOG_15,46.05225842653227,-35.55793201984443,59.433076802424736,cc
16,ECOG_16,48.6200881752016,-23.6907064364641,56.96943949095197,cc
17,ECOG_17,49.500477401565725,-12.356827219282781,55.14678023078768,cc
18,ECOG_18,45.842639607602855,-1.2635024173343918,52.86846784169463,cc
19,ECOG_19,45.76501885626609,10.215652373193965,49.93047574388693,cc
20,ECOG_20,41.79462454109187,21.141060546582942,46.63884380704345,cc
21,ECOG_21,44.02459755317596,-58.540890447893126,52.834681552494146,cc
22,ECOG_22,52.90844893648723,-38.503544951188736,52.115420079297024,cc
23,ECOG_23,55.104586712439946,-26.727116601150307,50.34886579135138,cc
24,ECOG_24,55.82624771471528,-14.950688251111885,48.58231150340574,cc
25,ECOG_25,53.61920200020685,-3.4715334605835277,45.644319405598026,cc
26,ECOG_26,51.68487620256963,8.245934940905764,42.0279459416694,cc
27,ECOG_27,51.55280302853516,18.910388448121427,37.28604298555297,cc
28,ECOG_28,49.48765097515687,-63.51765457683915,43.842333921218795,cc
29,ECOG_29,54.25389096938427,-52.41984816634677,43.832090522225045,cc
30,ECOG_30,57.678253343543794,-40.87949262299728,43.877952095449956,cc
31,ECOG_31,60.6865636404991,-29.54561340581596,42.055292835285655,cc
32,ECOG_32,59.59024048840344,-17.27215758291529,39.92659370544241,cc
33,ECOG_33,57.56769194917565,-5.847481132392074,37.40685142175097,cc
34,ECOG_34,57.0667500564053,5.833668375760456,34.069311167233195,cc
35,ECOG_35,55.09658577434078,17.828010085819432,30.629757622822435,cc
36,ECOG_36,51.5418757275001,-65.9843994819896,36.30194896089888,cc
37,ECOG_37,57.225225079785915,-55.533377726250485,35.50111425134688,cc
38,ECOG_38,60.68889086248321,-43.589032747652645,34.74787951115168,cc
39,ECOG_39,63.73220906089114,-31.867082737619373,33.39957503732232,cc
40,ECOG_40,63.13342102800537,-19.854581580892013,29.820604888206137,cc
41,ECOG_41,62.566034831628706,-8.373185986091654,28.01664728544806,cc
42,ECOG_42,60.781200446416555,3.8435506925318794,25.17216347467146,cc
43,ECOG_43,60.89781121336,15.561019094021168,21.55579001074282,cc
44,ECOG_44,53.972883041996305,-68.07203681137608,24.699780806715356,cc
45,ECOG_45,59.959854710514726,-55.73738023565427,25.554935347904753,cc
46,ECOG_46,63.18422046579075,-45.878664794663294,23.545259513678214,cc
47,ECOG_47,66.36378445372135,-34.59926391748712,22.140850067630197,cc
48,ECOG_48,65.96006409643131,-22.325808094586453,20.01215093778695,cc
49,ECOG_49,65.31248953651256,-10.163549755968058,17.58591694112662,cc
50,ECOG_50,64.32618846894712,1.4994403055160963,14.387793291314267,cc
51,ECOG_51,62.3070285979743,12.978595096044454,11.44980119350655,cc
52,ECOG_52,53.55307517772049,-68.90466452886474,13.82359398800955,cc
53,ECOG_53,59.56887894175194,-58.52628055979916,13.580425697279257,cc
54,ECOG_54,64.25068482421999,-47.83694519309912,12.101209621606339,cc
55,ECOG_55,65.90581263613772,-37.07273123545355,11.198361622161357,cc
56,ECOG_56,65.87603972748387,-25.205505652073235,8.734724310688588,cc
57,ECOG_57,65.87242625493853,-13.37459896202967,6.549920208626672,cc
58,ECOG_58,63.903472040326214,-2.449190788640694,3.258288271783203,cc
59,ECOG_59,59.181256739089086,8.975485661882525,0.7385459880917642,cc
0,ECOG_0,39.549015404360134,-65.92704981092938,55.112324137321174,de
1,ECOG_1,41.75388091398754,-55.88207983445863,57.93139927899015,de
2,ECOG_2,43.31962957199962,-45.673711996705734,59.59497412536781,de
3,ECOG_3,46.05225842653227,-34.99136395515334,60.14470624531946,de
4,ECOG_4,46.855585430797284,-24.4357756621759,59.35284296420307,de
5,ECOG_5,41.82921282884307,-13.835126551264564,60.480325231800364,de
6,ECOG_6,37.16563120431371,-3.2386887929665895,59.39958687686116,de
7,ECOG_7,37.6360598420902,6.769327055593711,59.12298739009249,de
8,ECOG_8,46.8518169474088,-65.46570366496992,47.37381954328562,de
9,ECOG_9,48.29233898961928,-55.91934997757233,49.242954325755505,de
10,ECOG_10,52.89395913728547,-45.318700866661004,50.370436593352814,de
11,ECOG_11,54.11326873922559,-34.34619521525149,51.10626381908117,de
12,ECOG_12,53.94340634381226,-23.974429516216457,51.614338370167516,de
13,ECOG_13,51.10231927736983,-12.94064966682614,51.916852985161626,de
14,ECOG_14,47.232958228393926,-2.5812020104279267,51.39303599343542,de
15,ECOG_15,42.904269666734216,8.16242022910528,51.509455502652834,de
16,ECOG_16,51.09895262653916,-65.48254907542336,38.540937053139565,de
17,ECOG_17,55.51071248282556,-54.53046815667412,39.421201815779334,de
18,ECOG_18,57.846086412899204,-44.281250853600696,40.79590158833418,de
19,ECOG_19,60.02433274414181,-34.49790706430334,42.108115007591074,de
20,ECOG_20,59.38047801541479,-23.815559022750936,42.6578471275427,de
21,ECOG_21,58.155968063897596,-13.071936783217728,42.7742666367601,de
22,ECOG_22,54.784324305207484,-2.5980474208813606,42.560153503289385,de
23,ECOG_23,51.68487620256963,7.937116139435809,41.91272775908441,de
24,ECOG_24,55.492754379805895,-64.54722272566441,29.688589732677997,de
25,ECOG_25,58.7549605795665,-54.39202239586887,30.60914811006594,de
26,ECOG_26,61.81249364426755,-44.68227084718913,31.32278259724452,de
27,ECOG_27,63.947078691722005,-33.730189928439884,32.203047359884295,de
28,ECOG_28,63.36358966799771,-23.358424229404857,32.71112191097063,de
29,ECOG_29,62.48938575252158,-12.614801989871646,32.82754142018805,de
30,ECOG_30,60.3103155647516,-2.6680603392921456,32.98425454415361,de
31,ECOG_31,58.177133575526,7.536096145847375,32.439608767994756,de
32,ECOG_32,57.6790939644508,-64.05734515702125,20.62931852200707,de
33,ECOG_33,60.230476237183495,-54.61732648553834,21.012420366497523,de
34,ECOG_34,63.56826232556019,-44.265985519163586,21.66493245449528,de
35,ECOG_35,66.36378445372135,-34.09036045670778,22.441053294971802,de
36,ECOG_36,65.30829979874832,-22.590707093541393,22.806054263263867,de
37,ECOG_37,65.25159487245115,-12.664390175622163,23.107204924140852,de
38,ECOG_38,63.86752784069857,-2.562357353783978,23.28474683253907,de
39,ECOG_39,60.612412597018746,7.641799131355548,22.740101056380226,de
40,ECOG_40,56.433904104187434,-64.26222451403044,10.888153241527236,de
41,ECOG_41,61.086201700545665,-54.35633232877148,11.333741439315634,de
42,ECOG_42,65.90621096171681,-43.612710089238284,11.450160948533034,de
43,ECOG_43,66.4972089628986,-33.012060978326936,12.577643216130339,de
44,ECOG_44,66.38191683998836,-22.910028156488753,12.755185124528559,de
